gender,province,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,parental_education_encoded
Male,Punjab,Primary or Below,Free/Reduced,Not Completed,56,58,58,0
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,65,74,78,2
Male,Punjab,Matric,Standard,Completed,76,76,80,1
Female,Punjab,Matric,Standard,Not Completed,66,67,67,1
Female,Punjab,Primary or Below,Standard,Completed,69,79,88,0
Male,Balochistan,Intermediate,Standard,Not Completed,78,78,75,2
Female,Sindh,Master's Degree,Standard,Not Completed,75,76,75,4
Female,Balochistan,Primary or Below,Free/Reduced,Not Completed,48,72,69,0
Female,Sindh,Matric,Standard,Not Completed,65,72,75,1
Female,Punjab,Intermediate,Standard,Not Completed,71,71,71,2
Male,Balochistan,Master's Degree,Standard,Completed,82,86,83,4
Male,Islamabad Capital Territory,Matric,Free/Reduced,Not Completed,67,68,70,1
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,54,75,79,2
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,67,77,79,2
Male,Sindh,Bachelor's Degree,Standard,Not Completed,54,64,71,3
Female,Khyber Pakhtunkhwa,Master's Degree,Standard,Not Completed,58,64,71,4
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,71,80,70,1
Male,Sindh,Bachelor's Degree,Standard,Not Completed,76,75,77,3
Male,Sindh,Intermediate,Standard,Not Completed,73,73,71,2
Male,Sindh,Master's Degree,Standard,Completed,72,77,82,4
Female,Punjab,Intermediate,Standard,Not Completed,56,58,66,2
Female,Sindh,Primary or Below,Standard,Not Completed,51,58,63,0
Female,Punjab,Master's Degree,Standard,Completed,82,87,91,4
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,56,61,60,3
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,78,84,87,3
Male,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,79,79,79,1
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,68,70,71,3
Female,Sindh,Intermediate,Free/Reduced,Not Completed,50,58,57,2
Male,Sindh,Matric,Standard,Not Completed,66,67,66,1
Female,Punjab,Matric,Standard,Not Completed,73,67,62,1
Female,Sindh,Master's Degree,Standard,Not Completed,71,79,80,4
Female,Punjab,Intermediate,Standard,Completed,59,80,84,2
Female,Punjab,Intermediate,Standard,Not Completed,67,76,76,2
Female,Balochistan,Intermediate,Free/Reduced,Not Completed,51,68,69,2
Female,Sindh,Master's Degree,Standard,Completed,81,89,94,4
Female,Punjab,Intermediate,Standard,Not Completed,72,73,77,2
Male,Sindh,Bachelor's Degree,Standard,Not Completed,66,70,74,3
Male,Punjab,Master's Degree,Free/Reduced,Not Completed,65,65,66,4
Male,Punjab,Matric,Free/Reduced,Not Completed,49,64,66,1
Male,Punjab,Intermediate,Standard,Not Completed,70,67,65,2
Female,Sindh,Matric,Standard,Not Completed,65,71,69,1
Female,Balochistan,Bachelor's Degree,Standard,Not Completed,86,76,76,3
Female,Balochistan,Bachelor's Degree,Free/Reduced,Not Completed,63,67,58,3
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,61,67,64,3
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,61,73,76,3
Male,Punjab,Intermediate,Free/Reduced,Not Completed,69,70,67,2
Female,Sindh,Matric,Free/Reduced,Not Completed,64,70,72,1
Female,Sindh,Intermediate,Standard,Not Completed,62,73,71,2
Male,Punjab,Intermediate,Standard,Completed,63,74,75,2
Male,Punjab,Primary or Below,Standard,Not Completed,60,63,67,0
Male,Sindh,Matric,Free/Reduced,Not Completed,75,74,73,1
Male,Sindh,Master's Degree,Standard,Not Completed,75,67,70,4
Female,Sindh,Bachelor's Degree,Standard,Not Completed,83,78,76,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,62,66,72,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,60,73,73,3
Female,Sindh,Matric,Standard,Not Completed,68,66,69,1
Male,Sindh,Matric,Standard,Not Completed,71,72,76,1
Female,Punjab,Matric,Standard,Not Completed,64,78,79,1
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,79,74,73,1
Male,Sindh,Intermediate,Standard,Not Completed,57,69,65,2
Male,Punjab,Intermediate,Standard,Not Completed,66,70,73,2
Male,Islamabad Capital Territory,Intermediate,Free/Reduced,Not Completed,68,69,66,2
Female,Punjab,Matric,Standard,Not Completed,62,68,70,1
Male,Sindh,Primary or Below,Free/Reduced,Not Completed,60,64,63,0
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,31,60,57,3
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,58,64,58,3
Male,Sindh,Intermediate,Standard,Completed,82,79,85,2
Female,Sindh,Matric,Standard,Not Completed,59,66,67,1
Female,Punjab,Intermediate,Standard,Not Completed,56,66,69,2
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,56,61,64,3
Male,Punjab,Master's Degree,Standard,Completed,67,79,80,4
Male,Punjab,Matric,Free/Reduced,Not Completed,50,55,54,1
Female,Punjab,Matric,Standard,Completed,81,84,89,1
Female,Sindh,Intermediate,Standard,Completed,62,78,84,2
Male,Sindh,Bachelor's Degree,Standard,Not Completed,57,61,58,3
Female,Punjab,Intermediate,Free/Reduced,Not Completed,53,62,66,2
Male,Punjab,Primary or Below,Standard,Not Completed,50,74,72,0
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,68,74,74,3
Male,Islamabad Capital Territory,Intermediate,Standard,Completed,67,76,79,2
Female,Punjab,Matric,Free/Reduced,Completed,57,64,74,1
Female,Balochistan,Intermediate,Free/Reduced,Completed,62,77,86,2
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,71,70,72,1
Female,Punjab,Matric,Free/Reduced,Not Completed,41,57,61,1
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,60,61,65,3
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,55,66,67,1
Male,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,70,69,67,3
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,64,75,80,2
Female,Punjab,Master's Degree,Standard,Not Completed,59,67,63,4
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,58,73,76,3
Male,Sindh,Intermediate,Free/Reduced,Not Completed,70,73,70,2
Male,Punjab,Master's Degree,Standard,Completed,70,94,99,4
Female,Islamabad Capital Territory,Matric,Free/Reduced,Not Completed,49,66,63,1
Female,Sindh,Master's Degree,Standard,Not Completed,65,60,55,4
Female,Punjab,Bachelor's Degree,Standard,Not Completed,48,66,66,3
Female,Sindh,Matric,Free/Reduced,Not Completed,60,73,71,1
Male,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,63,64,63,1
Male,Punjab,Bachelor's Degree,Standard,Not Completed,78,76,70,3
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,79,78,77,3
Male,Sindh,Matric,Standard,Not Completed,69,71,66,1
Female,Balochistan,Primary or Below,Standard,Not Completed,65,62,68,0
Male,Punjab,Matric,Standard,Completed,67,80,77,1
Male,Islamabad Capital Territory,Matric,Standard,Not Completed,55,61,60,1
Male,Punjab,Intermediate,Free/Reduced,Not Completed,81,70,69,2
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,91,90,96,1
Male,Sindh,Primary or Below,Standard,Not Completed,69,73,70,0
Female,Balochistan,Bachelor's Degree,Free/Reduced,Not Completed,48,64,60,3
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,52,74,78,2
Male,Sindh,Intermediate,Standard,Completed,80,80,86,2
Female,Sindh,Intermediate,Free/Reduced,Completed,65,76,78,2
Male,Punjab,Matric,Standard,Not Completed,58,69,64,1
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,79,72,81,3
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,75,79,89,1
Male,Punjab,Master's Degree,Standard,Completed,70,85,84,4
Male,Sindh,Intermediate,Free/Reduced,Not Completed,75,74,73,2
Female,Sindh,Intermediate,Standard,Not Completed,67,69,74,2
Female,Punjab,Primary or Below,Free/Reduced,Not Completed,66,77,73,0
Female,Balochistan,Bachelor's Degree,Free/Reduced,Completed,55,74,83,3
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,67,68,72,3
Female,Punjab,Intermediate,Standard,Not Completed,61,64,66,2
Female,Sindh,Matric,Free/Reduced,Not Completed,57,66,71,1
Female,Punjab,Matric,Standard,Completed,64,73,77,1
Female,Punjab,Matric,Free/Reduced,Completed,63,80,81,1
Male,Punjab,Intermediate,Standard,Completed,73,85,90,2
Male,Punjab,Bachelor's Degree,Standard,Not Completed,59,61,63,3
Male,Punjab,Matric,Standard,Not Completed,73,65,64,1
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,44,59,60,3
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,70,77,80,3
Female,Punjab,Matric,Standard,Not Completed,78,76,79,1
Female,Punjab,Bachelor's Degree,Standard,Completed,86,92,94,3
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,55,75,81,3
Male,Punjab,Matric,Free/Reduced,Not Completed,66,66,68,1
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,78,71,67,3
Male,Sindh,Intermediate,Standard,Not Completed,69,73,76,2
Female,Balochistan,Bachelor's Degree,Standard,Completed,69,82,89,3
Male,Sindh,Primary or Below,Standard,Completed,92,87,87,0
Female,Punjab,Matric,Standard,Completed,75,82,87,1
Female,Punjab,Master's Degree,Free/Reduced,Not Completed,82,78,75,4
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Not Completed,64,63,64,3
Male,Sindh,Matric,Free/Reduced,Completed,63,75,79,1
Female,Sindh,Matric,Free/Reduced,Not Completed,65,59,64,1
Female,Punjab,Primary or Below,Free/Reduced,Not Completed,51,65,69,0
Female,Sindh,Bachelor's Degree,Standard,Not Completed,66,78,74,3
Female,Islamabad Capital Territory,Matric,Free/Reduced,Not Completed,64,68,74,1
Male,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,49,65,65,3
Female,Sindh,Intermediate,Standard,Completed,81,83,89,2
Female,Sindh,Intermediate,Standard,Completed,84,94,99,2
Female,Sindh,Matric,Standard,Completed,81,83,88,1
Female,Sindh,Bachelor's Degree,Standard,Not Completed,55,63,73,3
Male,Punjab,Matric,Standard,Not Completed,70,64,60,1
Female,Sindh,Intermediate,Standard,Not Completed,58,78,70,2
Male,Punjab,Matric,Free/Reduced,Completed,75,83,81,1
Female,Islamabad Capital Territory,Intermediate,Free/Reduced,Completed,68,80,87,2
Male,Punjab,Intermediate,Standard,Completed,72,74,81,2
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Not Completed,71,78,86,3
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,70,79,84,1
Male,Sindh,Matric,Standard,Not Completed,72,67,67,1
Male,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,72,68,74,3
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,83,83,77,3
Female,Sindh,Bachelor's Degree,Standard,Not Completed,67,68,68,3
Female,Punjab,Intermediate,Free/Reduced,Not Completed,58,60,61,2
Male,Punjab,Bachelor's Degree,Standard,Not Completed,58,63,66,3
Male,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,78,70,67,1
Male,Sindh,Bachelor's Degree,Standard,Not Completed,61,64,66,3
Male,Punjab,Matric,Standard,Completed,82,83,87,1
Male,Sindh,Matric,Standard,Not Completed,64,58,60,1
Male,Islamabad Capital Territory,Primary or Below,Standard,Completed,77,84,87,0
Female,Balochistan,Bachelor's Degree,Standard,Completed,78,78,77,3
Female,Punjab,Intermediate,Standard,Not Completed,66,74,74,2
Female,Punjab,Bachelor's Degree,Standard,Not Completed,61,69,74,3
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Not Completed,66,65,67,3
Male,Punjab,Matric,Standard,Completed,57,76,77,1
Male,Punjab,Bachelor's Degree,Standard,Not Completed,69,66,66,3
Female,Sindh,Intermediate,Free/Reduced,Completed,68,85,91,2
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,88,87,88,1
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,86,82,75,2
Male,Balochistan,Master's Degree,Standard,Not Completed,84,85,83,4
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,52,66,64,2
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,45,60,67,3
