gender,province,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
Male,Sindh,Intermediate,Free/Reduced,None,72,74,64
Female,Punjab,Intermediate,Free/Reduced,None,60,66,69
Female,Sindh,Intermediate,Standard,None,79,73,72
Female,Punjab,Matric,Free/Reduced,None,65,65,65
Male,Islamabad Capital Territory,Intermediate,Standard,None,46,66,60
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,61,72,75
Female,Punjab,Primary or Below,Standard,Completed,66,76,87
Female,Punjab,Matric,Free/Reduced,None,60,61,64
Female,Punjab,Primary or Below,Standard,None,40,58,58
Female,Punjab,Intermediate,Standard,None,64,67,70
Female,Punjab,Matric,Standard,Completed,73,88,95
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,71,86,85
Female,Punjab,Intermediate,Free/Reduced,Completed,63,74,83
Female,Islamabad Capital Territory,Primary or Below,Standard,Completed,74,81,88
Male,Sindh,Matric,Standard,Completed,72,81,91
Female,Punjab,Matric,Free/Reduced,Completed,79,88,90
Female,Sindh,Primary or Below,Standard,None,87,77,70
Male,Sindh,Intermediate,Standard,None,52,57,54
Male,Sindh,Master's Degree,Standard,None,70,73,69
Male,Sindh,Matric,Standard,None,80,72,67
Male,Islamabad Capital Territory,Bachelor's Degree,Free/Reduced,Completed,59,77,84
Female,Punjab,Bachelor's Degree,Standard,None,55,70,70
Female,Islamabad Capital Territory,Master's Degree,Standard,None,73,72,75
Female,Sindh,Primary or Below,Standard,Completed,81,77,83
Female,Punjab,Primary or Below,Free/Reduced,None,51,59,67
Male,Balochistan,Matric,Standard,None,59,66,67
Female,Sindh,Intermediate,Standard,None,92,81,85
Male,Sindh,Bachelor's Degree,Free/Reduced,None,57,66,68
Male,Sindh,Intermediate,Standard,None,57,76,72
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,None,71,69,65
Female,Sindh,Intermediate,Free/Reduced,Completed,73,79,85
Female,Punjab,Bachelor's Degree,Free/Reduced,None,75,81,79
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,56,65,71
Male,Punjab,Matric,Standard,None,55,63,61
Male,Sindh,Matric,Standard,Completed,88,84,93
Male,Sindh,Intermediate,Free/Reduced,None,69,62,67
Female,Punjab,Matric,Standard,None,84,86,88
Female,Punjab,Bachelor's Degree,Standard,Completed,79,86,93
Female,Khyber Pakhtunkhwa,Intermediate,Standard,None,68,76,71
Male,Punjab,Intermediate,Standard,None,73,74,70
Female,Sindh,Matric,Standard,None,57,72,77
Female,Sindh,Intermediate,Free/Reduced,None,56,61,68
Male,Sindh,Matric,Free/Reduced,Completed,76,75,84
Female,Sindh,Intermediate,Free/Reduced,None,77,81,86
Male,Sindh,Intermediate,Standard,Completed,77,81,84
Male,Sindh,Matric,Standard,Completed,73,77,74
Female,Sindh,Primary or Below,Free/Reduced,None,63,63,69
Female,Sindh,Matric,Free/Reduced,None,63,64,70
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,85,86,85
Male,Islamabad Capital Territory,Master's Degree,Standard,None,64,67,69
Male,Punjab,Master's Degree,Free/Reduced,None,62,64,63
Male,Punjab,Matric,Standard,Completed,60,68,81
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,74,80,84
Female,Punjab,Matric,Standard,Completed,73,88,92
Female,Punjab,Intermediate,Standard,None,72,78,79
Female,Sindh,Matric,Standard,None,82,77,81
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,78,75,75
Female,Punjab,Intermediate,Standard,None,65,74,77
Female,Sindh,Bachelor's Degree,Standard,Completed,85,94,99
Male,Sindh,Intermediate,Standard,None,76,74,75
Male,Punjab,Master's Degree,Standard,None,63,71,67
Female,Sindh,Bachelor's Degree,Standard,Completed,65,77,81
Male,Sindh,Intermediate,Free/Reduced,Completed,42,63,76
Female,Sindh,Bachelor's Degree,Standard,Completed,92,86,90
Female,Sindh,Primary or Below,Free/Reduced,Completed,74,85,85
Male,Sindh,Primary or Below,Standard,None,58,69,66
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,55,72,74
Female,Sindh,Bachelor's Degree,Free/Reduced,None,71,77,73
Male,Punjab,Bachelor's Degree,Standard,None,64,73,74
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,None,71,72,74
Female,Khyber Pakhtunkhwa,Matric,Standard,None,66,73,73
Female,Sindh,Master's Degree,Free/Reduced,None,67,67,68
Male,Sindh,Intermediate,Standard,Completed,67,85,83
Male,Punjab,Matric,Standard,None,86,70,65
Male,Punjab,Master's Degree,Free/Reduced,None,76,73,73
Female,Sindh,Bachelor's Degree,Standard,None,58,73,74
Female,Balochistan,Bachelor's Degree,Standard,None,88,83,86
Male,Punjab,Bachelor's Degree,Standard,None,64,73,64
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,None,66,66,66
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,None,50,63,64
Male,Islamabad Capital Territory,Master's Degree,Standard,None,68,62,61
Female,Punjab,Intermediate,Standard,Completed,88,96,96
Male,Sindh,Bachelor's Degree,Standard,None,61,77,78
Female,Punjab,Matric,Free/Reduced,Completed,67,80,82
Male,Balochistan,Intermediate,Standard,Completed,66,71,77
Female,Punjab,Intermediate,Free/Reduced,Completed,77,83,84
Male,Sindh,Matric,Standard,Completed,55,65,73
Female,Sindh,Bachelor's Degree,Free/Reduced,None,59,62,57
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,None,69,65,63
Female,Balochistan,Matric,Free/Reduced,None,87,68,68
Male,Punjab,Intermediate,Standard,None,51,61,59
Male,Sindh,Intermediate,Standard,None,40,59,65
Female,Punjab,Bachelor's Degree,Standard,Completed,78,82,96
Male,Punjab,Master's Degree,Standard,None,82,76,73
Male,Punjab,Bachelor's Degree,Free/Reduced,None,78,69,66
Male,Balochistan,Bachelor's Degree,Standard,None,59,65,63
Female,Sindh,Matric,Standard,Completed,84,82,84
Male,Punjab,Matric,Standard,Completed,64,80,83
Female,Sindh,Matric,Standard,None,65,73,72
Female,Balochistan,Bachelor's Degree,Free/Reduced,None,67,68,64
Male,Sindh,Bachelor's Degree,Standard,None,77,80,70
Female,Sindh,Bachelor's Degree,Free/Reduced,None,52,53,60
Female,Punjab,Intermediate,Standard,Completed,79,92,100
Female,Sindh,Bachelor's Degree,Standard,None,66,67,66
Male,Punjab,Matric,Free/Reduced,None,59,66,60
Male,Punjab,Matric,Free/Reduced,None,68,68,69
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,None,82,80,71
Female,Punjab,Intermediate,Free/Reduced,None,55,56,64
Male,Sindh,Bachelor's Degree,Standard,Completed,76,82,91
Female,Punjab,Intermediate,Standard,None,73,75,72
Female,Balochistan,Intermediate,Free/Reduced,Completed,63,73,78
Female,Punjab,Primary or Below,Standard,None,69,72,73
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,65,77,84
Male,Punjab,Intermediate,Free/Reduced,None,60,65,64
Male,Sindh,Intermediate,Standard,Completed,70,80,81
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,72,79,82
Male,Sindh,Matric,Free/Reduced,None,40,56,51
Female,Balochistan,Primary or Below,Standard,None,55,62,66
Male,Sindh,Primary or Below,Free/Reduced,None,62,59,59
Female,Punjab,Bachelor's Degree,Standard,Completed,71,84,81
Male,Punjab,Matric,Standard,None,76,72,68
Female,Punjab,Intermediate,Free/Reduced,None,63,64,67
Female,Sindh,Matric,Free/Reduced,None,63,74,71
Male,Balochistan,Intermediate,Standard,None,71,75,79
Female,Sindh,Bachelor's Degree,Standard,Completed,79,87,92
Male,Punjab,Matric,Standard,None,50,61,64
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,74,83,85
Male,Punjab,Master's Degree,Standard,Completed,68,84,87
Female,Sindh,Intermediate,Free/Reduced,None,62,79,81
Male,Sindh,Intermediate,Standard,None,76,79,77
Male,Punjab,Bachelor's Degree,Standard,None,53,61,62
Female,Khyber Pakhtunkhwa,Matric,Standard,None,71,72,76
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Completed,50,72,82
Female,Punjab,Intermediate,Standard,None,63,76,76
Male,Punjab,Intermediate,Standard,None,59,71,59
Female,Punjab,Bachelor's Degree,Standard,None,82,73,75
Female,Punjab,Intermediate,Free/Reduced,None,51,59,61
Male,Punjab,Master's Degree,Free/Reduced,Completed,78,77,82
Female,Punjab,Primary or Below,Standard,Completed,70,78,85
Female,Punjab,Intermediate,Free/Reduced,Completed,80,77,80
Female,Punjab,Intermediate,Standard,None,83,74,71
Female,Punjab,Bachelor's Degree,Standard,Completed,75,82,81
Female,Sindh,Matric,Free/Reduced,Completed,69,80,83
Female,Sindh,Intermediate,Free/Reduced,None,67,66,64
Male,Punjab,Bachelor's Degree,Free/Reduced,None,70,76,73
Male,Balochistan,Matric,Standard,None,71,67,63
Female,Sindh,Primary or Below,Standard,Completed,74,84,93
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,72,79,83
Male,Sindh,Intermediate,Free/Reduced,Completed,65,71,74
Male,Punjab,Intermediate,Standard,Completed,67,81,85
Female,Sindh,Primary or Below,Standard,None,55,66,66
Female,Punjab,Bachelor's Degree,Standard,Completed,79,77,87
Male,Sindh,Intermediate,Standard,None,84,77,76
Female,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,None,62,71,64
Male,Punjab,Master's Degree,Standard,None,55,77,72
Female,Sindh,Intermediate,Standard,None,47,61,69
Female,Sindh,Matric,Standard,None,76,84,84
Female,Punjab,Bachelor's Degree,Free/Reduced,None,54,59,63
Female,Sindh,Master's Degree,Standard,Completed,94,92,100
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,57,68,70
Male,Sindh,Bachelor's Degree,Standard,None,75,70,70
Male,Sindh,Intermediate,Standard,Completed,60,68,73
Female,Punjab,Matric,Standard,Completed,71,78,83
Male,Sindh,Master's Degree,Free/Reduced,None,56,68,67
Male,Sindh,Matric,Standard,Completed,66,74,76
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,None,81,73,72
Male,Punjab,Intermediate,Free/Reduced,Completed,74,75,86
Female,Punjab,Intermediate,Standard,None,70,72,72
Male,Punjab,Matric,Standard,None,59,75,82
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,65,63,69
Female,Punjab,Intermediate,Free/Reduced,None,41,59,59
Female,Sindh,Master's Degree,Standard,None,64,68,73
Female,Islamabad Capital Territory,Matric,Standard,None,64,67,73
Female,Balochistan,Intermediate,Standard,None,76,73,70
Male,Punjab,Primary or Below,Free/Reduced,None,56,58,58
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,65,74,78
Male,Punjab,Matric,Standard,Completed,76,76,80
Female,Punjab,Matric,Standard,None,66,67,67
Female,Punjab,Primary or Below,Standard,Completed,69,79,88
Male,Balochistan,Intermediate,Standard,None,78,78,75
Female,Sindh,Master's Degree,Standard,None,75,76,75
Female,Balochistan,Primary or Below,Free/Reduced,None,48,72,69
Female,Sindh,Matric,Standard,None,65,72,75
Female,Punjab,Intermediate,Standard,None,71,71,71
Male,Balochistan,Master's Degree,Standard,Completed,82,86,83
Male,Islamabad Capital Territory,Matric,Free/Reduced,None,67,68,70
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,54,75,79
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,67,77,79
Male,Sindh,Bachelor's Degree,Standard,None,54,64,71
Female,Khyber Pakhtunkhwa,Master's Degree,Standard,None,58,64,71
Female,Khyber Pakhtunkhwa,Matric,Standard,None,71,80,70
Male,Sindh,Bachelor's Degree,Standard,None,76,75,77
Male,Sindh,Intermediate,Standard,None,73,73,71
Male,Sindh,Master's Degree,Standard,Completed,72,77,82
Female,Punjab,Intermediate,Standard,None,56,58,66
Female,Sindh,Primary or Below,Standard,None,51,58,63
Female,Punjab,Master's Degree,Standard,Completed,82,87,91
Male,Punjab,Bachelor's Degree,Free/Reduced,None,56,61,60
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,78,84,87
Male,Khyber Pakhtunkhwa,Matric,Standard,None,79,79,79
Male,Punjab,Bachelor's Degree,Free/Reduced,None,68,70,71
Female,Sindh,Intermediate,Free/Reduced,None,50,58,57
Male,Sindh,Matric,Standard,None,66,67,66
Female,Punjab,Matric,Standard,None,73,67,62
Female,Sindh,Master's Degree,Standard,None,71,79,80
Female,Punjab,Intermediate,Standard,Completed,59,80,84
Female,Punjab,Intermediate,Standard,None,67,76,76
Female,Balochistan,Intermediate,Free/Reduced,None,51,68,69
Female,Sindh,Master's Degree,Standard,Completed,81,89,94
Female,Punjab,Intermediate,Standard,None,72,73,77
Male,Sindh,Bachelor's Degree,Standard,None,66,70,74
Male,Punjab,Master's Degree,Free/Reduced,None,65,65,66
Male,Punjab,Matric,Free/Reduced,None,49,64,66
Male,Punjab,Intermediate,Standard,None,70,67,65
Female,Sindh,Matric,Standard,None,65,71,69
Female,Balochistan,Bachelor's Degree,Standard,None,86,76,76
Female,Balochistan,Bachelor's Degree,Free/Reduced,None,63,67,58
Male,Punjab,Bachelor's Degree,Free/Reduced,None,61,67,64
Female,Punjab,Bachelor's Degree,Free/Reduced,None,61,73,76
Male,Punjab,Intermediate,Free/Reduced,None,69,70,67
Female,Sindh,Matric,Free/Reduced,None,64,70,72
Female,Sindh,Intermediate,Standard,None,62,73,71
Male,Punjab,Intermediate,Standard,Completed,63,74,75
Male,Punjab,Primary or Below,Standard,None,60,63,67
Male,Sindh,Matric,Free/Reduced,None,75,74,73
Male,Sindh,Master's Degree,Standard,None,75,67,70
Female,Sindh,Bachelor's Degree,Standard,None,83,78,76
Male,Punjab,Bachelor's Degree,Standard,None,62,66,72
Male,Punjab,Bachelor's Degree,Standard,None,60,73,73
Female,Sindh,Matric,Standard,None,68,66,69
Male,Sindh,Matric,Standard,None,71,72,76
Female,Punjab,Matric,Standard,None,64,78,79
Female,Khyber Pakhtunkhwa,Matric,Standard,None,79,74,73
Male,Sindh,Intermediate,Standard,None,57,69,65
Male,Punjab,Intermediate,Standard,None,66,70,73
Male,Islamabad Capital Territory,Intermediate,Free/Reduced,None,68,69,66
Female,Punjab,Matric,Standard,None,62,68,70
Male,Sindh,Primary or Below,Free/Reduced,None,60,64,63
Female,Punjab,Bachelor's Degree,Free/Reduced,None,31,60,57
Female,Punjab,Bachelor's Degree,Free/Reduced,None,58,64,58
Male,Sindh,Intermediate,Standard,Completed,82,79,85
Female,Sindh,Matric,Standard,None,59,66,67
Female,Punjab,Intermediate,Standard,None,56,66,69
Male,Punjab,Bachelor's Degree,Free/Reduced,None,56,61,64
Male,Punjab,Master's Degree,Standard,Completed,67,79,80
Male,Punjab,Matric,Free/Reduced,None,50,55,54
Female,Punjab,Matric,Standard,Completed,81,84,89
Female,Sindh,Intermediate,Standard,Completed,62,78,84
Male,Sindh,Bachelor's Degree,Standard,None,57,61,58
Female,Punjab,Intermediate,Free/Reduced,None,53,62,66
Male,Punjab,Primary or Below,Standard,None,50,74,72
Male,Punjab,Bachelor's Degree,Free/Reduced,None,68,74,74
Male,Islamabad Capital Territory,Intermediate,Standard,Completed,67,76,79
Female,Punjab,Matric,Free/Reduced,Completed,57,64,74
Female,Balochistan,Intermediate,Free/Reduced,Completed,62,77,86
Female,Khyber Pakhtunkhwa,Matric,Standard,None,71,70,72
Female,Punjab,Matric,Free/Reduced,None,41,57,61
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,60,61,65
Female,Khyber Pakhtunkhwa,Matric,Standard,None,55,66,67
Male,Sindh,Bachelor's Degree,Free/Reduced,None,70,69,67
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,64,75,80
Female,Punjab,Master's Degree,Standard,None,59,67,63
Female,Sindh,Bachelor's Degree,Free/Reduced,None,58,73,76
Male,Sindh,Intermediate,Free/Reduced,None,70,73,70
Male,Punjab,Master's Degree,Standard,Completed,70,94,99
Female,Islamabad Capital Territory,Matric,Free/Reduced,None,49,66,63
Female,Sindh,Master's Degree,Standard,None,65,60,55
Female,Punjab,Bachelor's Degree,Standard,None,48,66,66
Female,Sindh,Matric,Free/Reduced,None,60,73,71
Male,Khyber Pakhtunkhwa,Matric,Standard,None,63,64,63
Male,Punjab,Bachelor's Degree,Standard,None,78,76,70
Male,Punjab,Bachelor's Degree,Free/Reduced,None,79,78,77
Male,Sindh,Matric,Standard,None,69,71,66
Female,Balochistan,Primary or Below,Standard,None,65,62,68
Male,Punjab,Matric,Standard,Completed,67,80,77
Male,Islamabad Capital Territory,Matric,Standard,None,55,61,60
Male,Punjab,Intermediate,Free/Reduced,None,81,70,69
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,91,90,96
Male,Sindh,Primary or Below,Standard,None,69,73,70
Female,Balochistan,Bachelor's Degree,Free/Reduced,None,48,64,60
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,52,74,78
Male,Sindh,Intermediate,Standard,Completed,80,80,86
Female,Sindh,Intermediate,Free/Reduced,Completed,65,76,78
Male,Punjab,Matric,Standard,None,58,69,64
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,79,72,81
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,75,79,89
Male,Punjab,Master's Degree,Standard,Completed,70,85,84
Male,Sindh,Intermediate,Free/Reduced,None,75,74,73
Female,Sindh,Intermediate,Standard,None,67,69,74
Female,Punjab,Primary or Below,Free/Reduced,None,66,77,73
Female,Balochistan,Bachelor's Degree,Free/Reduced,Completed,55,74,83
Female,Punjab,Bachelor's Degree,Free/Reduced,None,67,68,72
Female,Punjab,Intermediate,Standard,None,61,64,66
Female,Sindh,Matric,Free/Reduced,None,57,66,71
Female,Punjab,Matric,Standard,Completed,64,73,77
Female,Punjab,Matric,Free/Reduced,Completed,63,80,81
Male,Punjab,Intermediate,Standard,Completed,73,85,90
Male,Punjab,Bachelor's Degree,Standard,None,59,61,63
Male,Punjab,Matric,Standard,None,73,65,64
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,44,59,60
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,70,77,80
Female,Punjab,Matric,Standard,None,78,76,79
Female,Punjab,Bachelor's Degree,Standard,Completed,86,92,94
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,55,75,81
Male,Punjab,Matric,Free/Reduced,None,66,66,68
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,78,71,67
Male,Sindh,Intermediate,Standard,None,69,73,76
Female,Balochistan,Bachelor's Degree,Standard,Completed,69,82,89
Male,Sindh,Primary or Below,Standard,Completed,92,87,87
Female,Punjab,Matric,Standard,Completed,75,82,87
Female,Punjab,Master's Degree,Free/Reduced,None,82,78,75
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,None,64,63,64
Male,Sindh,Matric,Free/Reduced,Completed,63,75,79
Female,Sindh,Matric,Free/Reduced,None,65,59,64
Female,Punjab,Primary or Below,Free/Reduced,None,51,65,69
Female,Sindh,Bachelor's Degree,Standard,None,66,78,74
Female,Islamabad Capital Territory,Matric,Free/Reduced,None,64,68,74
Male,Sindh,Bachelor's Degree,Free/Reduced,None,49,65,65
Female,Sindh,Intermediate,Standard,Completed,81,83,89
Female,Sindh,Intermediate,Standard,Completed,84,94,99
Female,Sindh,Matric,Standard,Completed,81,83,88
Female,Sindh,Bachelor's Degree,Standard,None,55,63,73
Male,Punjab,Matric,Standard,None,70,64,60
Female,Sindh,Intermediate,Standard,None,58,78,70
Male,Punjab,Matric,Free/Reduced,Completed,75,83,81
Female,Islamabad Capital Territory,Intermediate,Free/Reduced,Completed,68,80,87
Male,Punjab,Intermediate,Standard,Completed,72,74,81
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,None,71,78,86
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,70,79,84
Male,Sindh,Matric,Standard,None,72,67,67
Male,Sindh,Bachelor's Degree,Free/Reduced,None,72,68,74
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,83,83,77
Female,Sindh,Bachelor's Degree,Standard,None,67,68,68
Female,Punjab,Intermediate,Free/Reduced,None,58,60,61
Male,Punjab,Bachelor's Degree,Standard,None,58,63,66
Male,Khyber Pakhtunkhwa,Matric,Standard,None,78,70,67
Male,Sindh,Bachelor's Degree,Standard,None,61,64,66
Male,Punjab,Matric,Standard,Completed,82,83,87
Male,Sindh,Matric,Standard,None,64,58,60
Male,Islamabad Capital Territory,Primary or Below,Standard,Completed,77,84,87
Female,Balochistan,Bachelor's Degree,Standard,Completed,78,78,77
Female,Punjab,Intermediate,Standard,None,66,74,74
Female,Punjab,Bachelor's Degree,Standard,None,61,69,74
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,None,66,65,67
Male,Punjab,Matric,Standard,Completed,57,76,77
Male,Punjab,Bachelor's Degree,Standard,None,69,66,66
Female,Sindh,Intermediate,Free/Reduced,Completed,68,85,91
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,88,87,88
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,86,82,75
Male,Balochistan,Master's Degree,Standard,None,84,85,83
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,52,66,64
Female,Sindh,Bachelor's Degree,Free/Reduced,None,45,60,67
Female,Punjab,Matric,Standard,Completed,71,85,93
Female,Punjab,Matric,Standard,Completed,81,87,95
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,92,92,94
Male,Punjab,Intermediate,Free/Reduced,Completed,47,72,72
Female,Punjab,Bachelor's Degree,Standard,None,66,74,73
Male,Punjab,Bachelor's Degree,Standard,Completed,75,77,85
Female,Sindh,Matric,Standard,None,64,65,66
Female,Balochistan,Intermediate,Standard,Completed,72,84,87
Male,Punjab,Primary or Below,Free/Reduced,None,75,72,73
Female,Punjab,Bachelor's Degree,Standard,None,72,66,69
Male,Punjab,Bachelor's Degree,Free/Reduced,None,67,59,65
Male,Punjab,Bachelor's Degree,Free/Reduced,None,51,61,56
Female,Punjab,Master's Degree,Standard,None,83,81,76
Female,Punjab,Bachelor's Degree,Standard,None,65,69,67
Female,Sindh,Matric,Standard,None,80,78,74
Male,Punjab,Intermediate,Standard,Completed,84,87,93
Male,Punjab,Intermediate,Standard,None,73,74,71
Female,Punjab,Primary or Below,Standard,None,46,58,59
Male,Punjab,Matric,Free/Reduced,Completed,63,81,79
Male,Balochistan,Bachelor's Degree,Standard,None,63,58,60
Male,Sindh,Intermediate,Free/Reduced,Completed,82,80,84
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,79,82,81
Male,Sindh,Bachelor's Degree,Standard,None,68,68,68
Female,Punjab,Primary or Below,Free/Reduced,Completed,80,79,93
Female,Punjab,Matric,Free/Reduced,Completed,52,65,76
Male,Sindh,Bachelor's Degree,Standard,None,78,74,70
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,Completed,65,77,83
Female,Balochistan,Primary or Below,Standard,None,56,63,68
Male,Islamabad Capital Territory,Matric,Standard,None,58,72,63
Male,Sindh,Matric,Free/Reduced,None,57,66,67
Male,Punjab,Bachelor's Degree,Free/Reduced,None,55,71,75
Female,Punjab,Matric,Standard,Completed,82,90,100
Male,Balochistan,Intermediate,Standard,None,58,66,63
Female,Balochistan,Master's Degree,Standard,Completed,67,80,87
Female,Islamabad Capital Territory,Intermediate,Standard,None,68,70,70
Female,Islamabad Capital Territory,Master's Degree,Standard,Completed,87,87,96
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,66,65,64
Female,Punjab,Matric,Standard,None,71,75,74
Female,Balochistan,Primary or Below,Free/Reduced,None,57,69,67
Female,Punjab,Bachelor's Degree,Standard,None,59,65,64
Female,Punjab,Intermediate,Standard,Completed,74,85,91
Male,Sindh,Intermediate,Standard,None,56,70,73
Male,Balochistan,Master's Degree,Standard,Completed,74,83,83
Male,Punjab,Primary or Below,Standard,Completed,79,88,94
Female,Sindh,Matric,Standard,None,64,69,69
Male,Balochistan,Bachelor's Degree,Free/Reduced,None,71,73,72
Male,Punjab,Matric,Standard,None,75,78,75
Female,Balochistan,Matric,Standard,Completed,85,83,87
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,66,71,66
Male,Sindh,Intermediate,Free/Reduced,None,77,70,68
Male,Punjab,Primary or Below,Standard,Completed,66,81,81
Female,Punjab,Intermediate,Standard,Completed,71,74,83
Female,Punjab,Intermediate,Standard,Completed,80,89,92
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,63,79,78
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,51,64,60
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,75,83,85
Male,Khyber Pakhtunkhwa,Matric,Standard,None,51,62,59
Female,Sindh,Intermediate,Standard,Completed,81,84,87
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,64,70,70
Male,Punjab,Matric,Standard,None,58,66,67
